timestamp,total_kwh,temp_c,rain_mm,hour,dow,is_weekend
2025-05-01 00:00:00,43.74189649547053,34.60233169119362,3.689250929717523,0,3,0
2025-05-01 01:00:00,42.437107908669255,34.887260805960665,3.689250929717523,1,3,0
2025-05-01 02:00:00,43.70260614109584,34.369752707294055,3.689250929717523,2,3,0
2025-05-01 03:00:00,46.076474268108754,34.7498108227917,3.689250929717523,3,3,0
2025-05-01 04:00:00,49.68363377764604,35.33175019618527,3.689250929717523,4,3,0
2025-05-01 05:00:00,51.66931950737278,34.764237063243804,3.689250929717523,5,3,0
2025-05-01 06:00:00,60.30678790654068,34.84063852670048,3.689250929717523,6,3,0
2025-05-01 07:00:00,84.15109819524056,35.24800538943693,3.689250929717523,7,3,0
2025-05-01 08:00:00,95.74376838067191,35.540629089033175,3.689250929717523,8,3,0
2025-05-01 09:00:00,101.2879191950899,35.39074134855578,3.689250929717523,9,3,0
2025-05-01 10:00:00,101.46702691371378,35.88600170901867,3.689250929717523,10,3,0
2025-05-01 11:00:00,84.52469352635103,35.844351726657536,3.689250929717523,11,3,0
2025-05-01 12:00:00,60.074192143695655,35.93985955195459,3.689250929717523,12,3,0
2025-05-01 13:00:00,54.98798457700236,35.9535484822848,3.689250929717523,13,3,0
2025-05-01 14:00:00,60.892036590900304,36.5856094619914,3.689250929717523,14,3,0
2025-05-01 15:00:00,74.43661961551429,35.92576502522776,3.689250929717523,15,3,0
2025-05-01 16:00:00,87.71114120134146,35.48625684426762,3.689250929717523,16,3,0
2025-05-01 17:00:00,106.74447314519063,36.66858984034272,3.689250929717523,17,3,0
2025-05-01 18:00:00,107.86511319029725,36.15000370260053,3.689250929717523,18,3,0
2025-05-01 19:00:00,103.92335821118753,36.41967766519049,3.689250929717523,19,3,0
2025-05-01 20:00:00,89.07397304637922,36.88017873734573,3.689250929717523,20,3,0
2025-05-01 21:00:00,65.40940067522394,36.1066356695699,3.689250929717523,21,3,0
2025-05-01 22:00:00,49.9472690394778,36.31181936765574,3.689250929717523,22,3,0
2025-05-01 23:00:00,46.87177294387036,36.306930150751924,3.689250929717523,23,3,0
2025-05-02 00:00:00,49.595555660688326,32.1806357219311,0.0,0,4,0
2025-05-02 01:00:00,48.52741224807038,32.650767590743826,0.0,1,4,0
2025-05-02 02:00:00,54.649193043328275,32.77613296178256,0.0,2,4,0
2025-05-02 03:00:00,45.52444421875507,32.801758862737294,0.0,3,4,0
2025-05-02 04:00:00,63.474212362835864,32.39504684377102,0.0,4,4,0
2025-05-02 05:00:00,63.92035336991319,32.22584557794893,0.0,5,4,0
2025-05-02 06:00:00,76.95952728083397,33.03518268455584,0.0,6,4,0
2025-05-02 07:00:00,92.56425287113782,32.97734379884723,0.0,7,4,0
2025-05-02 08:00:00,115.05105353820831,33.35669234045371,0.0,8,4,0
2025-05-02 09:00:00,124.29279638619187,33.52946269680511,0.0,9,4,0
2025-05-02 10:00:00,114.34338762092706,33.46034903855633,0.0,10,4,0
2025-05-02 11:00:00,101.4196731284997,33.74691653455148,0.0,11,4,0
2025-05-02 12:00:00,76.2289138512308,33.687640021173245,0.0,12,4,0
2025-05-02 13:00:00,71.11619997906844,33.87789602061917,0.0,13,4,0
